Name,pIC50,MW,AMW,Sv,Se,Sp,Si,Mv,Mp,nAT,nSK,nAA,nTA,nBT,nBO,nBM,SCBO,RBN,RBF,nDB,nAB,nH,nC,nN,nO,nS,nF,nCL,nHM,nHet,nX,H%,C%,N%,O%,X%,nCsp3,nCsp2,Fsp3,max_conj_path,nCIC,nCIR,TRS,Rperim,Rbrid,MCD,RFD,RCI,NRS,NNRS,nR03,nR05,nR06,nR09,nR10,nBnz,ARR,AP,D/Dtr03,D/Dtr05,D/Dtr06,D/Dtr09,D/Dtr10,nCp,nCs,nCt,nCrs,nCrt,nCar,nCbH,nCb-,nCconj,nArCONHR,nArCONR2,nArNHR,nROH,nOHp,nROR,nArOR,nCRX3,nArX,nThiazoles,nPyridines,nHDon,nHAcc,C-001,C-002,C-003,C-005,C-006,C-008,C-013,C-024,C-025,C-026,C-027,C-028,C-033,C-034,C-040,C-044,H-046,H-047,H-048,H-049,H-050,H-051,H-052,O-056,O-058,O-059,O-060,N-070,N-072,N-075,F-083,F-084,Cl-089,S-107,CATS2D_00_DD,CATS2D_09_DD,CATS2D_00_DA,CATS2D_02_DA,CATS2D_04_DA,CATS2D_05_DA,CATS2D_06_DA,CATS2D_07_DA,CATS2D_08_DA,CATS2D_09_DA,CATS2D_02_DL,CATS2D_03_DL,CATS2D_04_DL,CATS2D_05_DL,CATS2D_06_DL,CATS2D_07_DL,CATS2D_08_DL,CATS2D_09_DL,CATS2D_00_AA,CATS2D_02_AA,CATS2D_03_AA,CATS2D_04_AA,CATS2D_05_AA,CATS2D_06_AA,CATS2D_07_AA,CATS2D_08_AA,CATS2D_09_AA,CATS2D_02_AL,CATS2D_03_AL,CATS2D_04_AL,CATS2D_05_AL,CATS2D_06_AL,CATS2D_07_AL,CATS2D_08_AL,CATS2D_09_AL,CATS2D_00_LL,CATS2D_01_LL,CATS2D_02_LL,CATS2D_03_LL,CATS2D_04_LL,CATS2D_05_LL,CATS2D_06_LL,CATS2D_07_LL,CATS2D_08_LL,CATS2D_09_LL,SHED_DD,SHED_DA,SHED_DL,SHED_AA,SHED_AL,SHED_LL,T(N..N),T(N..O),T(N..S),T(N..F),T(N..Cl),T(O..O),T(O..S),T(O..F),T(O..Cl),T(S..S),T(S..F),T(S..Cl),T(F..F),T(Cl..Cl),B01[C-F],B01[C-Cl],B02[C-F],B02[C-Cl],B02[N-N],B02[N-S],B02[F-F],B03[C-F],B03[C-Cl],B03[N-N],B03[N-S],B03[N-F],B03[N-Cl],B03[S-F],B04[C-F],B04[C-Cl],B04[N-O],B04[N-F],B04[N-Cl],B04[O-F],B04[Cl-Cl],B05[C-F],B05[C-Cl],B05[N-F],B05[N-Cl],B05[O-F],B06[C-F],B06[C-Cl],B06[N-N],B06[N-O],B06[N-S],B06[N-F],B06[N-Cl],B06[O-O],B06[O-S],B07[C-F],B07[C-Cl],B07[N-O],B07[N-F],B07[N-Cl],B07[O-O],B07[O-F],B07[O-Cl],B08[C-S],B08[C-F],B08[C-Cl],B08[N-F],B08[N-Cl],B08[O-Cl],B09[C-N],B09[C-F],B09[C-Cl],B09[N-F],B09[N-Cl],B09[O-O],B09[O-F],B09[O-Cl],B09[S-F],B10[C-F],B10[C-Cl],B10[N-S],B10[N-F],B10[O-O],B10[O-S],B10[O-F],B10[S-S],F01[C-C],F01[C-N],F01[C-O],F01[C-S],F01[C-F],F01[C-Cl],F02[C-C],F02[C-N],F02[C-O],F02[C-S],F02[C-F],F02[C-Cl],F02[N-N],F02[N-O],F02[N-S],F02[F-F],F03[C-C],F03[C-N],F03[C-O],F03[C-S],F03[C-F],F03[C-Cl],F03[N-N],F03[N-S],F03[N-F],F03[N-Cl],F03[S-F],F04[C-C],F04[C-N],F04[C-O],F04[C-S],F04[C-F],F04[C-Cl],F04[N-N],F04[N-O],F04[N-F],F04[N-Cl],F04[O-F],F04[Cl-Cl],F05[C-C],F05[C-N],F05[C-O],F05[C-S],F05[C-F],F05[C-Cl],F05[N-N],F05[N-O],F05[N-F],F05[N-Cl],F05[O-F],F06[C-C],F06[C-N],F06[C-O],F06[C-S],F06[C-F],F06[C-Cl],F06[N-N],F06[N-O],F06[N-S],F06[N-F],F06[N-Cl],F06[O-O],F06[O-S],F07[C-C],F07[C-N],F07[C-O],F07[C-S],F07[C-F],F07[C-Cl],F07[N-O],F07[N-F],F07[N-Cl],F07[O-O],F07[O-F],F07[O-Cl],F08[C-C],F08[C-N],F08[C-O],F08[C-S],F08[C-F],F08[C-Cl],F08[N-F],F08[N-Cl],F08[O-Cl],F09[C-C],F09[C-N],F09[C-O],F09[C-S],F09[C-F],F09[C-Cl],F09[N-O],F09[N-F],F09[N-Cl],F09[O-O],F09[O-F],F09[O-Cl],F09[S-F],F10[C-C],F10[C-N],F10[C-O],F10[C-S],F10[C-F],F10[C-Cl],F10[N-S],F10[N-F],F10[O-O],F10[O-S],F10[O-F],F10[S-S],Uc,Ui,Hy,AMR,MR99,MRcons,TPSA(NO),TPSA(Tot),MLOGP,MLOGP2,ALOGP,ALOGP2,LOGP99,LOGPcons,ESOL,SAtot,SAacc,SAdon,Vx,VvdwMG,VvdwZAZ,PDI,BLTF96,BLTD48,BLTA96,SAscore,PBF,DLS_01,DLS_02,DLS_03,DLS_04,DLS_05,DLS_06,DLS_cons,LLS_01,LLS_02,CMC-80,Inflammat-80,Psychotic-80,Hypertens-80,Hypertens-50,Neoplastic-80,Infective-80,QEDu,QED
AT01,8.125,560.7,7.788,46.22,72.49,48.6,80.77,0.642,0.675,72,40,23,6,76,44,26,58.5,8,0.1053,3,23,32,30,4,5,1,0,0,1,10,0,44.44,41.67,5.556,6.944,0,8,22,0.2667,13,5,5,29,29,0,0.725,0,1,5,1,0,1,4,0,0,3,0.5227,0.575,0,121.2,573.3,0,0,2,0,0,0,0,21,11,7,1,1,0,0,0,0,1,1,0,0,0,0,1,8,2,0,0,1,5,0,0,11,5,3,0,1,1,0,1,0,6,24,1,0,1,0,0,0,3,1,1,0,1,1,0,0,0,0,1,0,0,1,2,3,0,0,1,1,3,1,2,3,3,3,2,1,8,3,1,2,3,1,3,0,7,7,14,17,11,13,13,6,8,18,14,17,12,6,5,9,14,17,19,0,4.456,7.418,9.736,13.9,12,31,136,20,0,0,90,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,27,7,5,1,0,0,35,13,7,4,0,0,0,3,0,0,33,14,13,5,0,0,0,0,0,0,0,30,13,15,1,0,0,2,2,0,0,0,0,36,13,8,1,0,0,1,3,0,0,0,35,14,9,1,0,0,0,1,0,0,0,0,1,34,12,11,2,0,0,1,0,0,2,0,0,36,7,12,1,0,0,0,0,0,36,4,8,3,0,0,5,0,0,1,0,0,0,33,8,11,3,0,0,0,0,1,0,0,0,4.755,3.954,-0.367,155.2,153.2,153.2,102.8,111.1,2.698,7.279,5.08,25.81,4.497,4.092,-5.681,690.4,127.6,18.01,686.5,284.7,496.9,0.9944,-3.683,-3.883,-3.928,4.255,1.279,0.75,0.6667,0.8333,0.7,0.5,0.8333,0.7548,0.3333,0.75,0,0,0,0,0,0,0,0.3052,0.354
AT02,7.991,580.8,7.848,48.51,74.16,51.15,82.56,0.6555,0.6912,74,42,27,5,79,47,31,64,7,0.08861,3,28,32,33,4,4,1,0,0,1,9,0,43.24,44.59,5.405,5.405,0,7,26,0.2121,13,6,7,35,33,1,0.7857,0.06061,1.061,5,0.8333,0,1,5,0,1,4,0.5957,0.6429,0,122.3,695.1,0,220.7,2,0,0,0,0,25,14,8,1,1,0,0,0,0,1,0,0,0,0,0,1,7,2,0,0,0,5,0,0,14,7,2,0,1,1,0,1,0,6,24,1,0,1,0,0,0,3,1,0,0,1,1,0,0,0,0,1,0,0,1,2,3,0,0,1,0,3,1,2,3,3,3,3,2,7,3,1,2,2,0,3,0,6,5,12,17,13,16,15,7,7,23,21,27,22,12,7,10,16,22,26,0,3.586,9.376,7.543,15.5,13.5,31,102,20,0,0,36,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,7,3,1,0,0,42,13,5,4,0,0,0,3,0,0,40,14,11,5,0,0,0,0,0,0,0,35,13,13,1,0,0,2,2,0,0,0,0,38,14,8,1,0,0,1,2,0,0,0,37,16,8,1,0,0,0,0,0,0,0,0,1,37,14,9,2,0,0,1,0,0,2,0,0,41,8,10,1,0,0,0,0,0,42,5,7,3,0,0,4,0,0,0,0,0,0,40,9,9,3,0,0,0,0,1,0,0,0,5,4.17,-0.4078,165.2,164.2,164.2,93.53,101.9,3.865,14.94,6.005,36.06,5.642,5.171,-6.676,696.8,116.7,18.01,714.7,296.3,511.5,1.026,-4.676,-4.992,-5.095,4.19,1.45,0.75,0.6667,0.8333,0.7,0.5,0.8333,0.7548,0.1667,0.75,0,0,0,0,0,0,0,0.258,0.2749
AT03,7.983,551.1,8.479,43.28,65.72,45.48,72.68,0.6659,0.6997,65,38,23,6,69,42,26,56.5,6,0.08696,3,23,27,28,4,4,1,0,1,2,10,1,41.54,43.08,6.154,6.154,1.538,6,22,0.2143,19,5,5,29,29,0,0.7632,0,1,5,1,0,1,4,0,0,3,0.5476,0.6053,0,112.7,532,0,0,2,0,0,0,0,21,11,7,1,1,0,0,0,0,1,0,0,1,0,0,1,7,2,0,0,0,4,0,0,11,4,4,0,1,1,0,1,0,6,19,1,0,1,0,0,0,3,1,0,0,1,1,0,0,1,0,1,0,0,1,2,3,0,0,1,0,3,1,2,3,4,2,3,0,7,3,1,2,2,0,3,0,6,6,12,16,11,13,11,6,5,18,12,18,12,8,5,11,14,19,18,0,3.586,6.547,7.543,13.28,11.69,31,102,20,0,30,36,10,0,50,0,0,12,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,26,7,3,1,0,1,32,14,5,4,0,2,0,3,0,0,30,15,11,5,0,2,0,0,0,0,0,29,12,13,1,0,1,2,2,0,1,0,0,35,11,8,1,0,1,1,2,0,1,0,34,13,9,1,0,2,0,0,0,0,0,0,1,32,11,9,2,0,2,1,0,0,2,0,0,33,6,9,1,0,2,0,1,1,32,3,5,3,0,3,4,0,0,0,0,0,0,26,7,7,4,0,3,0,0,1,0,0,0,4.755,3.954,-0.3482,148.7,147.5,147.5,93.53,101.9,3.244,10.53,5.754,33.11,5.083,4.694,-6.252,644.5,116.7,18.01,650.3,269.9,468.8,1.009,-4.148,-4.402,-4.474,4.124,0.4057,0.75,0.8333,0.8333,0.7,0.5,0.8333,0.7786,0.1667,0.75,0,0,0,0,0,0,0,0.3409,0.3552
AT05,7.752,573.8,8.563,45.14,67.69,47.52,74.74,0.6737,0.7092,67,40,26,5,72,45,30,61.5,6,0.08333,3,27,27,29,5,4,2,0,0,2,11,0,40.3,43.28,7.463,5.97,0,6,23,0.2069,22,6,7,34,32,1,0.8,0.0625,1.062,5,0.8333,0,2,4,1,0,3,0.6,0.65,0,209.1,535.2,185.4,0,2,0,0,0,0,22,11,7,1,1,0,0,0,0,1,0,0,0,1,0,1,8,2,0,0,0,4,0,0,11,4,2,0,2,1,1,1,1,6,19,1,0,1,0,0,0,3,1,0,0,1,2,0,0,0,1,1,0,0,1,2,3,1,0,1,0,3,1,2,3,3,1,3,2,8,4,2,2,2,1,3,0,6,7,12,17,14,16,12,9,9,18,13,16,13,7,3,8,12,16,17,0,4.456,7.418,10.14,13.74,12.3,53,144,54,0,0,36,52,0,0,10,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,26,9,3,3,0,0,34,14,5,6,0,0,1,3,2,0,30,16,11,8,0,0,1,1,0,0,0,27,16,13,4,0,0,2,2,0,0,0,0,32,16,8,3,0,0,1,2,0,0,0,34,15,7,3,0,0,1,1,1,0,0,0,2,32,14,9,5,0,0,1,0,0,2,0,0,33,10,10,4,0,0,0,0,0,33,8,7,6,0,0,4,0,0,0,0,0,0,33,8,7,3,0,0,1,0,1,0,0,1,4.954,4.129,-0.3422,156.5,155.6,155.6,106.4,143,3.249,10.56,5.715,32.66,5.039,4.668,-6.388,650.6,133.4,18.01,671.9,278.8,474.5,1.033,-4.152,-4.407,-4.479,4.285,0.9104,0.75,0.5,0.8333,0.7,0.5,0.6667,0.7071,0.1667,0.75,0,0,0,0,0,0,0,0.2449,0.26
AT06,7.735,598.7,8.432,46.66,72.7,47.96,80.58,0.6571,0.6755,71,42,23,8,75,46,26,60.5,7,0.09333,3,23,29,30,4,4,1,3,0,1,12,3,40.85,42.25,5.634,5.634,4.225,8,22,0.2667,13,5,5,29,29,0,0.6905,0,1,5,1,0,1,4,0,0,3,0.5,0.5476,0,127.9,607,0,0,3,0,0,0,0,21,11,7,1,1,0,0,0,0,1,0,1,0,0,0,1,10,2,0,0,0,5,0,1,11,6,2,0,1,1,0,1,0,6,21,1,0,1,0,0,0,3,1,0,0,1,1,3,0,0,0,1,0,0,1,2,3,0,0,1,0,3,1,2,3,3,3,3,1,7,3,1,2,2,0,3,0,6,5,12,17,12,13,12,6,6,19,16,19,13,6,5,10,15,19,21,0,3.586,7.42,7.543,13.87,11.95,31,102,20,114,0,36,10,174,0,0,42,0,6,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,28,7,3,1,3,0,36,13,5,4,3,0,0,3,0,3,33,14,11,5,6,0,0,0,0,0,0,30,13,13,1,6,0,2,2,0,0,0,0,34,14,8,1,6,0,1,2,0,0,0,36,14,8,1,0,0,0,0,0,3,0,0,1,35,11,9,2,3,0,1,3,0,2,0,0,36,7,10,1,6,0,0,0,0,36,5,7,3,6,0,4,0,0,0,0,0,0,34,7,7,3,6,0,0,3,1,0,3,0,4.755,3.954,-0.3368,154.8,151.7,151.7,93.53,101.9,3.721,13.85,6.039,36.47,5.507,5.089,-6.69,683.8,161.5,18.01,685.5,284.3,506.4,1.003,-4.553,-4.855,-4.951,4.333,1.445,0.75,0.8333,0.8333,0.7,0.5,0.8333,0.7786,0.1667,0.75,0,0,0,0,0,0,0,0.2939,0.3098
AT07,7.622,584.7,8.598,45.13,69.82,46.2,77.17,0.6637,0.6794,68,41,23,8,72,45,26,59.5,6,0.08333,3,23,27,29,4,4,1,3,0,1,12,3,39.71,42.65,5.882,5.882,4.412,7,22,0.2414,19,5,5,29,29,0,0.7073,0,1,5,1,0,1,4,0,0,3,0.5111,0.561,0,122.3,581.6,0,0,3,0,0,0,0,21,11,7,1,1,0,0,0,0,1,0,1,0,0,0,1,10,2,0,0,0,4,0,1,11,5,3,0,1,1,0,1,0,6,19,1,0,1,0,0,0,3,1,0,0,1,1,3,0,0,0,1,0,0,1,2,3,0,0,1,0,3,1,2,3,4,3,2,0,7,3,1,2,2,0,3,0,6,6,13,16,10,13,12,5,5,18,14,17,12,7,6,11,15,19,19,0,3.586,6.547,7.543,13.22,11.57,31,102,20,102,0,36,10,162,0,0,39,0,6,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,27,7,3,1,3,0,34,14,5,4,3,0,0,3,0,3,32,15,11,5,6,0,0,0,0,0,0,30,13,13,1,6,0,2,2,0,0,0,0,36,12,8,1,3,0,1,2,3,0,0,36,13,9,1,3,0,0,0,0,3,0,0,1,34,11,9,2,6,0,1,0,0,2,0,0,35,7,10,1,6,0,0,0,0,35,3,5,3,6,0,4,3,0,0,3,0,0,29,7,7,4,9,0,0,0,1,0,0,0,4.755,3.954,-0.3273,149.9,147.4,147.4,93.53,101.9,3.532,12.48,6.032,36.39,5.448,5.004,-6.652,657.7,161.5,18.01,662.1,274.7,489.1,1.007,-4.393,-4.676,-4.762,4.241,0.9294,0.75,0.8333,0.8333,0.7,0.5,0.8333,0.7786,0.1667,0.75,0,0,0,0,0,0,0,0.3109,0.3202
AT08,7.614,534.7,8.226,42.84,65.91,44.56,73.07,0.659,0.6856,65,38,23,6,69,42,26,56.5,6,0.08696,3,23,27,28,4,4,1,1,0,1,10,1,41.54,43.08,6.154,6.154,1.538,6,22,0.2143,19,5,5,29,29,0,0.7632,0,1,5,1,0,1,4,0,0,3,0.5476,0.6053,0,113.8,534.1,0,0,2,0,0,0,0,21,11,7,1,1,0,0,0,0,1,0,0,1,0,0,1,8,2,0,0,0,4,0,0,11,4,4,0,1,1,0,1,0,6,19,1,0,1,0,0,0,3,1,0,0,1,1,0,1,0,0,1,0,0,1,2,3,0,0,1,0,3,1,2,3,4,3,1,0,7,3,1,2,2,0,3,0,6,6,13,15,9,13,12,4,5,17,12,15,12,7,6,10,14,17,17,0,3.586,6.321,7.543,12.88,11.46,31,102,20,34,0,36,10,54,0,0,13,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,26,7,3,1,1,0,32,14,5,4,2,0,0,3,0,0,30,15,11,5,2,0,0,0,0,0,0,29,12,13,1,1,0,2,2,0,0,0,0,35,11,8,1,0,0,1,2,1,0,0,34,13,9,1,1,0,0,0,0,1,0,0,1,32,11,9,2,2,0,1,0,0,2,0,0,33,6,9,1,2,0,0,0,0,32,3,5,3,2,0,4,1,0,0,1,0,0,26,7,7,4,3,0,0,0,1,0,0,0,4.755,3.954,-0.3482,144.2,142.4,142.4,93.53,101.9,3.147,9.903,5.295,28.04,4.568,4.337,-5.906,626,131.6,18.01,632.9,262.8,459.6,1.011,-4.065,-4.31,-4.377,4.12,0.5099,0.75,0.8333,0.8333,0.7,0.5,0.8333,0.7786,0.1667,0.75,0,0,0,0,0,0,0,0.3677,0.3849
AT10,7.369,576.7,7.9,46.94,73.82,49.06,81.98,0.643,0.672,73,41,23,6,77,45,26,59.5,9,0.1169,3,23,32,30,4,6,1,0,0,1,11,0,43.84,41.1,5.479,8.219,0,8,22,0.2667,13,5,5,29,29,0,0.7073,0,1,5,1,0,1,4,0,0,3,0.5111,0.561,0,123.3,587.1,0,0,1,0,0,0,0,21,11,7,1,1,0,0,0,0,1,2,0,0,0,0,1,9,1,0,0,2,5,0,0,11,4,4,0,1,1,0,1,0,3,27,1,0,1,0,0,0,3,1,2,0,1,1,0,0,0,0,1,0,0,1,2,3,0,1,1,1,3,1,2,3,2,3,1,1,9,3,1,2,4,2,4,0,7,9,16,17,11,11,12,6,12,16,11,13,9,4,5,8,13,13,16,0,5.349,7.252,11.17,13.63,12,31,166,20,0,0,147,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,26,7,7,1,0,0,34,13,9,4,0,0,0,3,0,0,33,14,15,5,0,0,0,0,0,0,0,31,13,17,1,0,0,2,2,0,0,0,0,37,13,9,1,0,0,1,4,0,0,0,35,14,11,1,0,0,0,2,0,0,0,0,1,34,12,12,2,0,0,2,0,0,3,0,0,36,7,14,1,0,0,0,0,0,36,4,12,3,0,0,5,0,0,1,0,0,0,33,8,15,3,0,0,0,0,1,0,0,0,4.755,3.954,-0.3516,156.7,155,155,112,120.4,1.967,3.87,4.578,20.95,4.197,3.581,-5.316,705.5,138.6,18.01,696.3,288.7,505.7,0.9869,-3.062,-3.189,-3.197,4.087,0.8571,0.75,0.6667,0.6667,0.7,0.5,0.8333,0.7309,0.3333,0.625,0,0,0,0,0,0,0,0.2666,0.3363
AT11,7.328,516.7,7.949,42.45,65.4,44.63,72.73,0.6531,0.6865,65,37,23,5,69,41,26,55.5,6,0.08696,3,23,28,28,4,4,1,0,0,1,9,0,43.08,43.08,6.154,6.154,0,6,22,0.2143,19,5,5,29,29,0,0.7838,0,1,5,1,0,1,4,0,0,3,0.561,0.6216,0,109.7,516.2,0,0,2,0,0,0,0,21,12,6,1,1,0,0,0,0,1,0,0,0,0,0,1,7,2,0,0,0,4,0,0,12,4,3,0,1,1,0,1,0,6,20,1,0,1,0,0,0,3,1,0,0,1,1,0,0,0,0,1,0,0,1,2,3,0,0,1,0,3,1,2,3,4,3,2,0,7,3,1,2,2,0,3,0,6,6,13,16,10,13,12,5,5,18,14,17,12,7,6,11,15,19,19,0,3.586,6.547,7.543,13.22,11.57,31,102,20,0,0,36,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,7,3,1,0,0,32,14,5,4,0,0,0,3,0,0,30,15,11,5,0,0,0,0,0,0,0,29,12,13,1,0,0,2,2,0,0,0,0,35,11,8,1,0,0,1,2,0,0,0,34,13,9,1,0,0,0,0,0,0,0,0,1,32,11,9,2,0,0,1,0,0,2,0,0,33,6,9,1,0,0,0,0,0,32,3,5,3,0,0,4,0,0,0,0,0,0,26,7,7,4,0,0,0,0,1,0,0,0,4.755,3.954,-0.365,143.9,142.4,142.4,93.53,101.9,3.049,9.295,5.09,25.91,4.429,4.189,-5.702,623.1,116.7,18.01,630,261.6,453.5,1.011,-3.981,-4.216,-4.279,4.044,0.7795,0.75,0.8333,0.8333,0.7,0.5,0.8333,0.7786,0.1667,0.75,0,0,0,0,0,0,0,0.3814,0.4026
AT12,7.309,482.7,7.542,39.98,64.28,42.39,72.15,0.6247,0.6623,64,34,17,7,67,37,20,48.5,6,0.08955,3,17,30,25,4,4,1,0,0,1,9,0,46.88,39.06,6.25,6.25,0,9,16,0.36,13,4,4,23,23,0,0.6765,0,1,4,1,0,1,3,0,0,2,0.4595,0.5,0,103.8,351.7,0,0,4,1,0,0,0,15,7,5,1,1,0,0,0,0,1,0,0,0,0,0,1,7,4,0,0,0,4,1,0,7,4,2,0,1,1,0,1,0,6,16,1,0,1,0,6,0,3,1,0,0,1,1,0,0,0,0,1,0,0,1,2,3,0,0,1,0,3,1,2,3,4,1,1,0,7,3,1,2,2,0,3,0,6,6,11,13,9,13,10,4,5,15,10,14,10,7,4,8,10,13,11,0,3.586,6.089,7.543,12.58,11.36,31,102,20,0,0,36,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,7,3,1,0,0,27,14,5,4,0,0,0,3,0,0,27,13,11,5,0,0,0,0,0,0,0,27,9,13,1,0,0,2,2,0,0,0,0,30,10,8,1,0,0,1,2,0,0,0,28,13,9,1,0,0,0,0,0,0,0,0,1,26,9,7,2,0,0,1,0,0,2,0,0,25,5,8,1,0,0,0,0,0,23,3,5,3,0,0,4,0,0,0,0,0,0,17,7,7,4,0,0,0,0,1,0,0,0,4.392,3.644,-0.3336,133.3,131.5,131.5,93.53,101.9,2.655,7.049,4.239,17.97,4.021,3.638,-5.069,614.2,116.7,18.01,599.2,249,432.8,0.9756,-3.647,-3.842,-3.885,4.184,0.7832,1,0.8333,1,0.8,0.5,1,0.8762,0.3333,0.875,0,0,0,0,0,0,0,0.5276,0.5634
